2:op_ut,third_party.torch-xpu-ops.test.xpu.dynamo.test_functions_xpu.FunctionTests,test_get_device_properties_tensor_device
716:op_ut,third_party.torch-xpu-ops.test.xpu.test_foreach_xpu.TestForeachXPU,test_foreach_copy_with_multi_dtypes_large_input_xpu
717:op_ut,third_party.torch-xpu-ops.test.xpu.test_linalg_xpu.TestLinalgXPU,test_linalg_lstsq_input_checks_xpu_complex128
718:op_ut,third_party.torch-xpu-ops.test.xpu.test_linalg_xpu.TestLinalgXPU,test_linalg_lstsq_input_checks_xpu_complex64
719:op_ut,third_party.torch-xpu-ops.test.xpu.test_linalg_xpu.TestLinalgXPU,test_linalg_lstsq_input_checks_xpu_float32
720:op_ut,third_party.torch-xpu-ops.test.xpu.test_linalg_xpu.TestLinalgXPU,test_linalg_lstsq_input_checks_xpu_float64
721:op_ut,third_party.torch-xpu-ops.test.xpu.test_linalg_xpu.TestLinalgXPU,test_blas_alpha_beta_empty_xpu_complex128
722:op_ut,third_party.torch-xpu-ops.test.xpu.test_linalg_xpu.TestLinalgXPU,test_blas_alpha_beta_empty_xpu_complex64
723:op_ut,third_party.torch-xpu-ops.test.xpu.test_linalg_xpu.TestLinalgXPU,test_svd_xpu_complex128
724:op_ut,third_party.torch-xpu-ops.test.xpu.test_linalg_xpu.TestLinalgXPU,test_svd_xpu_complex64
725:op_ut,third_party.torch-xpu-ops.test.xpu.test_linalg_xpu.TestLinalgXPU,test_svd_xpu_float32
726:op_ut,third_party.torch-xpu-ops.test.xpu.test_linalg_xpu.TestLinalgXPU,test_svd_xpu_float64
727:op_ut,third_party.torch-xpu-ops.test.xpu.test_linalg_xpu.TestLinalgXPU,test_einsum_random_xpu_float64
736:op_ut,third_party.torch-xpu-ops.test.xpu.test_linalg_xpu.TestLinalgXPU,test_logaddexp_cpu_vs_cuda_complex_xpu
740:op_ut,third_party.torch-xpu-ops.test.xpu.test_meta_xpu.TestMetaXPU,test_meta_outplace_torch_ops_aten__flash_attention_forward_xpu_float16
743:op_ut,third_party.torch-xpu-ops.test.xpu.test_ops_xpu.TestCommonXPU,test_out_cholesky_inverse_xpu_float32
744:op_ut,third_party.torch-xpu-ops.test.xpu.test_ops_xpu.TestCommonXPU,test_out_geqrf_xpu_float32
745:op_ut,third_party.torch-xpu-ops.test.xpu.test_ops_xpu.TestFakeTensorXPU,test_fake_crossref_backward_amp_fft_hfft2_xpu_float32
